,index,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
641,4857018,1617127320,58809.13,58809.13,58799.58,58799.58,0.13400461,7879.6669573,58801.461811
642,4857019,1617127380,58785.58,58848.89,58785.58,58845.87,0.53300315,31339.15689,58797.320221
643,4857020,1617127440,58820.37,58849.67,58820.37,58846.59,0.23717527,13955.686332,58841.237251
644,4857021,1617127500,58849.09,58909.13,58845.12,58909.13,2.31583836,136334.79901,58870.602267
645,4857022,1617127560,58891.94,59014.18,58891.94,59013.82,7.07358053,417313.19167,58996.033182
646,4857023,1617127620,59009.21,59009.26,58967.31,58996.39,8.74583547,515935.90701,58992.180767
647,4857024,1617127680,58996.39,59100.0,58996.39,59100.0,27.87631883,1647145.3091,59087.619105
648,4857025,1617127740,59100.0,59144.94,59092.02,59130.56,17.42345901,1029872.4424,59108.38036
649,4857026,1617127800,59136.55,59136.55,59040.82,59063.56,12.794226,756070.41361,59094.658294
650,4857027,1617127860,59063.56,59087.09,59034.94,59050.79,10.11186493,597338.0687,59072.987311
651,4857028,1617127920,59050.79,59061.26,59021.31,59061.26,9.48354671,559956.48514,59045.049522
652,4857029,1617127980,59061.26,59101.25,59061.26,59073.55,0.74378146,43941.689852,59078.764684
653,4857030,1617128040,59080.8,59100.53,59055.98,59055.98,16.08329873,950162.65918,59077.598143
654,4857031,1617128100,59076.94,59103.28,59073.68,59076.16,2.43791548,144031.3013,59079.694305
655,4857032,1617128160,59075.82,59079.43,59063.51,59070.78,9.71374577,573815.13117,59072.488076
656,4857033,1617128220,59070.78,59099.98,59065.44,59099.98,6.60609289,390238.26786,59072.47663
657,4857034,1617128280,59077.72,59093.57,59033.97,59047.44,7.57241882,447321.26184,59072.440719
658,4857035,1617128340,59052.59,59077.33,59046.85,59055.93,0.46075957,27209.779291,59054.181536
659,4857036,1617128400,59056.97,59057.56,59049.35,59052.23,1.22782471,72507.04867,59053.257423
660,4857037,1617128460,59050.3,59081.45,59049.96,59081.45,1.74002317,102764.13998,59059.064129
661,4857038,1617128520,59081.46,59100.0,59068.88,59100.0,0.83457226,49303.926298,59076.88125
662,4857039,1617128580,59081.16,59110.67,59068.15,59068.15,1.44833268,85575.373427,59085.439836
663,4857040,1617128640,59042.11,59072.69,59033.67,59052.66,1.41959321,83822.511422,59046.852881
664,4857041,1617128700,59066.01,59066.01,59066.01,59066.01,0.00486,287.0608086,59066.01
665,4857042,1617128760,59057.9,59074.99,59005.63,59014.59,3.07214175,181415.95439,59051.947845
666,4857043,1617128820,59000.0,59000.0,58951.17,59000.0,2.05894832,121431.09052,58977.240631
667,4857044,1617128880,59017.42,59046.07,58992.81,59033.48,0.76947939,45425.251532,59033.746871
668,4857045,1617128940,59033.48,59039.28,59017.3,59032.62,1.10082194,64985.160625,59033.307989
669,4857046,1617129000,59025.67,59025.67,58952.12,58952.12,0.52304842,30852.038296,58985.052084
670,4857047,1617129060,58931.13,58931.13,58850.06,58913.82,1.33840727,78824.548953,58894.292283
671,4857048,1617129120,58922.34,58922.34,58811.64,58811.64,2.44356716,143869.15747,58876.694622
672,4857049,1617129180,58787.26,58876.32,58787.26,58876.32,0.96390442,56708.1297,58831.69381
673,4857050,1617129240,58853.74,58865.48,58808.93,58865.48,0.57536366,33853.625573,58838.657924
674,4857051,1617129300,58865.48,58882.23,58826.13,58853.45,1.69769634,99928.104726,58861.000269
675,4857052,1617129360,58864.6,58906.18,58862.03,58903.53,2.77515096,163445.71985,58896.154554
676,4857053,1617129420,58905.62,58905.62,58860.03,58863.06,0.74042708,43598.96669,58883.538795
677,4857054,1617129480,58860.71,58879.47,58845.95,58874.16,1.49642113,88081.848645,58861.671276
678,4857055,1617129540,58885.62,58920.6,58870.49,58870.49,0.70566306,41559.645186,58894.460462
679,4857056,1617129600,58859.07,58897.87,58856.43,58892.32,2.41274761,142072.92502,58884.287952
680,4857057,1617129660,58892.11,58924.6,58882.27,58915.0,0.91805276,54073.347101,58900.043067
681,4857058,1617129720,58899.54,58953.71,58899.54,58953.71,3.9109759,230394.73963,58909.7825
682,4857059,1617129780,58957.02,58960.71,58900.0,58901.55,0.1642258,9677.3359649,58927.01369
683,4857060,1617129840,58880.05,58895.73,58864.2,58888.41,1.02316809,60246.372648,58882.184889
684,4857061,1617129900,58899.08,58970.63,58899.08,58963.03,1.51491816,89287.170333,58938.609815
685,4857062,1617129960,58950.39,58966.32,58914.27,58929.12,2.29011124,134959.37861,58931.363792
686,4857063,1617130020,58929.12,58961.72,58902.7,58961.72,0.38297705,22571.463022,58936.855413
687,4857064,1617130080,58959.0,58982.41,58959.0,58960.51,1.15701354,68238.861561,58978.446839
688,4857065,1617130140,58962.72,58965.39,58939.17,58943.56,0.15157247,8935.03887,58948.956034
689,4857066,1617130200,58930.5,58951.94,58890.37,58890.37,1.06747808,62892.297741,58916.71119
690,4857067,1617130260,58888.2,58900.19,58833.03,58848.59,1.68921729,99469.216037,58884.796305
691,4857068,1617130320,58840.36,58909.85,58840.36,58909.85,0.96008591,56512.831608,58862.265365
692,4857069,1617130380,58892.33,58898.92,58858.14,58879.91,1.04405822,61461.482939,58867.869398
693,4857070,1617130440,58881.95,58881.95,58814.09,58817.51,5.58875161,328988.85697,58866.251343
694,4857071,1617130500,58828.77,58838.47,58812.11,58829.07,1.04625923,61550.428465,58829.042268
695,4857072,1617130560,58859.55,58859.55,58824.16,58840.08,0.79563935,46805.044053,58826.959794
696,4857073,1617130620,58845.69,58845.69,58833.57,58836.61,0.44074785,25931.917258,58836.174149
697,4857074,1617130680,58835.97,58880.38,58826.44,58868.93,0.50308513,29603.609215,58844.134818
698,4857075,1617130740,58868.24,58883.49,58843.68,58876.29,0.96892688,57021.098199,58849.743335
699,4857076,1617130800,58859.19,58872.05,58847.31,58849.28,3.18799803,187660.87875,58864.803861
700,4857077,1617130860,58851.42,58851.42,58821.46,58839.02,1.5105378,88855.341989,58823.646776
701,4857078,1617130920,58824.91,58842.16,58804.14,58826.43,0.75612996,44478.811091,58824.294029
702,4857079,1617130980,58835.29,58870.91,58817.86,58842.38,0.92738134,54579.430519,58853.276603
703,4857080,1617131040,58843.92,58922.54,58841.99,58919.9,2.57770623,151755.59144,58872.337614
704,4857081,1617131100,58890.38,58900.33,58828.04,58855.68,2.59097846,152451.579,58839.384948
705,4857082,1617131160,58811.72,58843.27,58809.73,58809.73,1.78191032,104817.33929,58823.016016
706,4857083,1617131220,58829.58,58856.12,58822.58,58842.82,1.27451177,74984.771931,58834.114911
707,4857084,1617131280,58842.82,58884.21,58823.21,58882.62,1.27618869,75094.240319,58842.5841
708,4857085,1617131340,58886.33,58903.96,58863.04,58863.04,3.22762131,189994.0633,58865.041792
709,4857086,1617131400,58871.08,58871.08,58839.36,58847.82,4.22090569,248384.4994,58846.25662
710,4857087,1617131460,58864.72,58873.49,58817.91,58817.91,1.16722465,68686.126132,58845.678192
